ID,Prediction
1,A D C
2,B E D
3,B D A
4,E D B
5,C D B
6,D B A
7,E A C
8,B A D
9,C E B
10,B E C
11,A B C
12,D A C
13,C A B
14,C B A
15,E C D
16,A C D
17,E C A
18,B D A
19,A E D
20,D A E
21,B C E
22,D C E
23,D A C
24,E B D
25,D C A
26,E A C
27,E A C
28,C D A
29,B C D
30,A D B
31,E C A
32,C E B
33,D C B
34,C A D
35,A C D
36,C B E
37,C A D
38,C B A
39,B D E
40,C A B
41,A D C
42,E A B
43,B D E
44,A D E
45,D B E
46,B E A
47,D A C
48,A C E
49,B A D
50,C E A
51,D B C
52,A D B
53,C B A
54,C A D
55,B C D
56,B E D
57,B E C
58,A D E
59,A D C
60,C E B
61,C B E
62,A D B
63,A C E
64,C D B
65,E C B
66,E A D
67,C E B
68,B C E
69,E D A
70,C A D
71,C A D
72,D C A
73,A B E
74,D A E
75,C A D
76,A D B
77,C E A
78,D E C
79,D B E
80,C A D
81,B E C
82,B C E
83,D B A
84,B A C
85,E C A
86,B D E
87,B A D
88,E B D
89,E B D
90,C A E
91,B C D
92,B D E
93,C B A
94,D A C
95,E A B
96,B D E
97,D A B
98,B D A
99,C D A
100,B E D
101,E B D
102,D C B
103,E B D
104,C D B
105,E C A
106,C A E
107,A C D
108,D C B
109,E C D
110,E D C
111,D B C
112,D E B
113,E D C
114,E C D
115,B A C
116,A C E
117,C A B
118,A D C
119,C D A
120,B C A
121,C B E
122,D E B
123,C E A
124,A D B
125,D A C
126,D E A
127,C A E
128,B E A
129,B E C
130,D B C
131,E D A
132,B A C
133,D E A
134,D A C
135,C E B
136,C B A
137,B D E
138,E B D
139,E C A
140,B C D
141,C D A
142,C B A
143,D C B
144,E C B
145,D C E
146,B E D
147,C E A
148,A E D
149,B D E
150,E A D
151,B C D
152,B C E
153,A D E
154,E A C
155,D E B
156,D E B
157,C E A
158,D E A
159,C D B
160,B C A
161,C E D
162,D B E
163,E C A
164,C E A
165,A B D
166,E C B
167,A E C
168,D B E
169,B A C
170,A C D
171,A C D
172,C A D
173,C D A
174,D E A
175,D A B
176,E B D
177,C B D
178,A D C
179,C B A
180,A D E
181,E C B
182,C A B
183,B E D
184,B E D
185,C B D
186,E B A
187,D A C
188,E C A
189,C E B
190,E A C
191,D C E
192,C E D
193,C E B
194,E D C
195,D C B
196,B A D
197,B C D
198,B D E
199,A E D
200,C D B
201,E A D
202,A D C
203,B D E
204,D B E
205,B D C
206,C A B
207,A B E
208,D A C
209,B D E
210,A E D
211,B C D
212,A B C
213,C D E
214,C E D
215,C B A
216,C D E
217,B A D
218,C B A
219,A B C
220,D A E
221,B D E
222,D C B
223,E A C
224,B D A
225,A C D
226,C B A
227,D E B
228,C B D
229,B A C
230,A B E
231,D B C
232,D C B
233,C E D
234,A B E
235,A D B
236,B D A
237,A D E
238,A E D
239,B E C
240,D A C
241,E C D
242,A B D
243,D A B
244,E D A
245,A B E
246,B D A
247,A C E
248,E D C
249,E B D
250,D A E
251,A E D
252,B D E
253,C B E
254,D A E
255,A C D
256,C D E
257,B E C
258,C E A
259,C B A
260,D A B
261,E C A
262,A B C
263,B E A
264,C D B
265,A E B
266,A D B
267,D B C
268,D C B
269,B D A
270,B D C
271,C A B
272,C A E
273,D C B
274,A B C
275,D E A
276,B A D
277,E D C
278,D B A
279,B C E
280,D E C
281,D E C
282,B A C
283,A D B
284,B E D
285,E C D
286,A D E
287,B D E
288,E A B
289,E C D
290,B A C
291,B D E
292,C D A
293,D A E
294,D B C
295,A D B
296,C E A
297,D A C
298,D A E
299,C B A
300,E D C
301,B D C
302,C B A
303,B D A
304,C B D
305,E B D
306,B A C
307,B E C
308,C E B
309,E A B
310,A B E
311,C D B
312,C B E
313,C B D
314,A B D
315,C D B
316,B D E
317,A C B
318,D E C
319,C A E
320,B E D
321,B D C
322,C D B
323,A B C
324,A C D
325,E A B
326,E C A
327,D E C
328,B D A
329,C A E
330,B C E
331,A D C
332,C A E
333,B E D
334,E D B
335,B D E
336,B E C
337,E B D
338,D A C
339,D B C
340,C A D
341,E C A
342,B D A
343,D A C
344,A B C
345,C D A
346,C D E
347,D C E
348,A C B
349,B D C
350,A D C
351,D E A
352,B E C
353,D A B
354,E C A
355,B C D
356,D B C
357,D E C
358,B D E
359,C E A
360,E B A
361,D B E
362,B D C
363,C B A
364,B E D
365,C E A
366,E B C
367,E A C
368,C B D
369,B A D
370,D E C
371,D C E
372,C D E
373,B D E
374,E B A
375,E C D
376,B E C
377,C A B
378,A E D
379,C E B
380,E A B
381,E B C
382,D A B
383,C B D
384,B A C
385,A C E
386,A B D
387,B D C
388,B A D
389,D B A
390,E A B
391,B E A
392,C B A
393,C B A
394,B D C
395,A C D
396,A C D
397,C E B
398,E A C
399,E A B
400,E C D
401,D C E
402,D E A
403,A D E
404,B D E
405,C A B
406,B E D
407,B D A
408,C A B
409,C A D
410,A C E
411,E C A
412,C E B
413,C A D
414,C B A
415,E C A
416,C B A
417,B E C
418,D C A
419,A C D
420,E A C
421,A C D
422,D B C
423,A C D
424,B D E
425,C A B
426,C D E
427,C B E
428,C E D
429,D A C
430,C E B
431,C B E
432,B C D
433,D E C
434,C B A
435,C D A
436,D B C
437,E B D
438,A C E
439,D E B
440,C A D
441,E B D
442,D E A
443,E C D
444,B C E
445,B E C
446,B C D
447,C D B
448,E B D
449,B A D
450,E A B
451,D A E
452,B D E
453,A C D
454,B D C
455,A B C
456,B E D
457,D B C
458,B A C
459,A B E
460,A C B
461,A C B
462,D A C
463,D C E
464,E C A
465,E D C
466,D E C
467,D E C
468,E D B
469,C B D
470,A D C
471,C E B
472,A B E
473,C B D
474,E B D
475,A C E
476,E D A
477,A D C
478,B A C
479,B E C
480,B A D
481,A D E
482,D C E
483,A B E
484,D A B
485,C B D
486,B E A
487,A B E
488,E C A
489,B C D
490,B D E
491,C E B
492,D B C
493,D C E
494,D B C
495,A D B
496,A E C
497,C A E
498,B D E
499,E D B
500,C A D
